Date,Open,High,Low,Close
18-03-2005,"2,929.65","2,950.85","2,884.50","2,946.80"
21-03-2005,"2,947.95","2,967.55","2,931.25","2,949.75"
22-03-2005,"2,962.55","2,962.55","2,911.05","2,916.05"
23-03-2005,"2,912.45","2,918.15","2,842.80","2,854.20"
24-03-2005,"2,854.25","2,874.45","2,805.15","2,816.55"
28-03-2005,"2,817.70","2,874.10","2,817.70","2,834.90"
29-03-2005,"2,835.15","2,835.15","2,787.50","2,805.40"
30-03-2005,"2,801.35","2,829.30","2,782.60","2,813.05"
31-03-2005,"2,847.90","2,949.65","2,836.50","2,923.15"
01-04-2005,"2,927.70","2,951.75","2,891.20","2,946.35"
04-04-2005,"2,945.15","2,982.45","2,924.30","2,934.00"
05-04-2005,"2,997.65","2,997.65","2,907.70","2,917.20"
06-04-2005,"2,920.25","2,948.90","2,916.85","2,942.10"
07-04-2005,"2,945.15","2,967.35","2,912.30","2,921.35"
08-04-2005,"2,918.50","2,920.70","2,850.35","2,856.70"
11-04-2005,"2,851.00","2,855.65","2,792.40","2,799.25"
12-04-2005,"2,785.00","2,834.90","2,784.45","2,825.80"
13-04-2005,"2,835.55","2,857.55","2,812.60","2,833.10"
15-04-2005,"2,775.35","2,775.35","2,664.45","2,670.05"
18-04-2005,"2,658.90","2,682.65","2,615.85","2,642.45"
19-04-2005,"2,650.25","2,694.10","2,512.85","2,540.90"
20-04-2005,"2,535.55","2,535.55","2,461.90","2,514.10"
21-04-2005,"2,522.85","2,557.90","2,496.40","2,552.70"
22-04-2005,"2,598.95","2,648.30","2,598.95","2,639.20"
25-04-2005,"2,656.95","2,656.95","2,623.00","2,635.65"
26-04-2005,"2,633.50","2,633.50","2,593.00","2,596.80"
27-04-2005,"2,567.60","2,578.45","2,534.30","2,554.90"
28-04-2005,"2,549.55","2,575.35","2,539.85","2,561.20"
